,발화문,final_label
0,고마워. 다행히 다치진 않아서 정말 다행이야.,0
1,"그래, 고맙다. 많이 위로가 됐어. 고마워!",0
2,"에구, 진짜 고맙다. 말만 들어도 힘이 난다.",0
3,"그래, 그게 좋겠다.",0
4,함께 일하는 동료가 마음이 잘 맞아. 정말 다행이지?,0
5,먼저 얘기 해달라고 말해줘서 고마워. 힘이 된다.,0
6,그래. 고마워. 위로 받으니까 훨씬 좋다.,0
7,또 기운 내서 또 준비할 거야. 그래도 괜찮겠지?,0
8,그래. 니가 그렇게 말해주니까 정말 고맙다.,0
9,말해줘서 참 기분이 좋네. 앞으로 더 열심히 해가지고 상사한테 칭찬도 받아야겠어.,0
10,아프면 바로 병원 갈 테니까 걱정하지 마.,0
11,그렇게 말해줘서 너무 힘이 된다. 고마워.,0
12,고마워. 이모카 너가 있어서 다행이다.,0
13,그래야겠다. 건강한 게 최고 중요한 거니까.,0
14,"어, 산책 좀 해봐야겠다.",0
15,좋은 생각이다.,0
16,어. 항상 넌 날 걱정해주더라.,0
17,알겠어. 항상 고마워.,0
18,위로해줘서 고마워.,0
19,너한테라도 털어놓을 수 있어서 다행인 거 같애. 고마워.,0
20,"응, 그럴려고. 걱정해줘서 고마워.",0
21,"응, 알겠어. 고마워.",0
22,"그래, 고마워. 너밖에 없다.",0
23,그렇게 생각해야지. 고마워.,0
24,그렇게 말해줘서 고마워.,0
25,지금 연락해볼게. 조언 고마워!,0
26,오! 그거 좋다. 고마워!,0
27,응. 고마워. 다음에 같이 산책하자.,0
28,"그래, 너밖에 없다. 내 얘기 좀 많이 들어줘.",0
29,어. 고마워. 니 덕에 조금 나아진 거 같애.,0
30,"그래, 고마워.",0
31,들었대. 고마워.,0
32,고마워. 너밖에 없어.,0
33,"응, 알겠어. 고마워.",0
34,그래! 당장 연락해야지.,0
35,고마워. 덕분에 이직도 한번 생각해볼게.,0
36,걱정해줘서 고마워.,0
37,이제 집 가서 먹을려구. 고마워.,0
38,다행히 같은 동기 중에서 좀 서로서로 위로해주는 사람이 있어서 괜찮아.,0
39,알겠어. 고마워.,0
40,알았어. 힘들때마다 너한테 얘기할게. 고마워!,0
41,고마워. 너라도 있어서 다행이다.,0
42,"응, 고마워. 너밖에 없다.",0
43,응 알겠어. 고마워.,0
44,그거 괜찮은데?,0
45,모두 괜찮아.,0
46,아하! 그러면 되겠네.,0
47,그래. 미안하고 고맙다.,0
48,"응, 알겠어. 좋은 방법이다.",0
49,고마워. 너 덕분에 그래도 많이 힘이 난다.,0
50,덕분에 조금 안심이야.,0
51,그래 힘 낼게. 고마워.,0
52,"고마워, 이모카.",0
53,알았어. 고마워.,0
54,"그래, 고마워. 힘든 일 있을 때마다 얘기할게.",0
55,알겠어. 고마워.,0
56,그렇게 말해줘서 고마워. 근데 나는 아무데도 안아픈 거 같애. 진짜 다행이야.,0
57,응. 고마워 이모카.,0
58,고마워. 너가 있어서 참 다행이야.,0
59,알겠어. 고마워.,0
60,거 같애. 고마워.,0
61,고마워. 너라도 있어서 다행이다.,0
62,그래. 걱정해줘서 고마워.,0
63,말이라도 고맙다. 위로해줘서 고마워. 꼭 얘기할게.,0
64,고마워. 너한테 꼭 얘기할게. 이제 마음이 좀 편해진다.,0
65,알겠어 고마워.,0
66,"그래. 그래도 고민 털어놓을 친구가 너라도 있어서 다행이다. 항상 고맙다, 친구야.",0
67,알겠어. 힘든 일 있으면 너한테 연락할게. 위로해줘서 고마워.,0
68,그래. 회사 다닌지 얼마 안됐으니까 아직은 열심히 하면 될 거야.,0
69,그래. 너는 그래도 항상 내 편이니까. 말하기가 편하다. 그럴게.,0
70,그래. 내가 열심히 해서 만회해 볼거야. 화이팅 하자!,0
